IATA,ICAO,Airport Name,City Served,Region,Location,Time Zone,Runways Count,Terminal Count,International Status,Owned By,Operated By,Website URL,Date Opened
AQJ,OJAQ,King Hussein International Airport,Aqaba,Aqaba Governorate,"Aqaba, Jordan",UTC+03:00,1,1,International,Ayla Airports,Ayla Airports,https://www.aac.jo/,1976
ARN,ESSA,Stockholm Arlanda Airport,Stockholm,Stockholm County,"Sigtuna, Stockholm, Sweden",UTC+01:00,3,4,International,Swedavia,Swedavia,https://www.swedavia.com/,1962
ASB,UTAA,Ashgabat International Airport,Ashgabat,Ashgabat,"Ashgabat, Turkmenistan",UTC+05:00,1,2,International,Turkmenistan Airlines,Turkmenistan Airlines,https://www.airport.ashgabat.tm/,1996
ASR,LTAU,Kayseri Erkilet Airport,Kayseri,Kayseri Province,"Kayseri, Turkey",UTC+03:00,2,2,International,DHMI,DHMI,https://www.dhmi.gov.tr/,1998
ATH,LGAV,Athens International Airport,Athens,Attica,"Spata, Athens, Greece",UTC+02:00,2,2,International,Athens International Airport S.A.,Athens International Airport S.A.,https://www.aia.gr/,2001
ATL,KATL,Hartsfield–Jackson Atlanta International Airport,Atlanta,Georgia,"Atlanta, Georgia, USA",UTC-05:00,5,2,International,City of Atlanta,Department of Aviation,https://www.atl.com/,1925
ATQ,VIAR,Amritsar International Airport,Amritsar,Punjab,"Amritsar, Punjab, India",UTC+05:30,1,1,International,Airports Authority of India,Airports Authority of India,https://www.aai.aero/,1930
AUA,TNCA,Queen Beatrix International Airport,Oranjestad,Aruba,"Oranjestad, Aruba",UTC-04:00,1,1,International,Aruba Airport Authority N.V.,Aruba Airport Authority N.V.,https://www.airportaruba.com/,1934
AUF,LFLA,Auxerre–Branches Aerodrome,Auxerre,Burgundy,"Auxerre, France",UTC+01:00,2,1,Domestic,CCI de l'Yonne,CCI de l'Yonne,https://www.aerodrome-auxerre.fr/,1986
AUH,OMAA,Abu Dhabi International Airport,Abu Dhabi,Abu Dhabi Emirate,"Abu Dhabi, UAE",UTC+04:00,3,3,International,Abu Dhabi Airports Company,Abu Dhabi Airports Company,https://www.abudhabiairport.ae/,1982
AUS,KAUS,Austin–Bergstrom International Airport,Austin,Texas,"Austin, Texas, USA",UTC-06:00,2,2,International,City of Austin,Department of Aviation,https://www.austintexas.gov/,1999
AVN,LFMV,Avignon–Provence Airport,Avignon,Provence-Alpes-Côte d'Azur,"Avignon, France",UTC+01:00,2,1,International,CCI du Vaucluse,CCI du Vaucluse,https://www.avignon.aero/,1937
AYT,LTAI,Antalya Airport,Antalya,Antalya Province,"Antalya, Turkey",UTC+03:00,3,3,International,ICF Airports,ICF Airports,https://www.antalya-airport.aero/,1998
AZI,OMAZ,Al Bateen Executive Airport,Abu Dhabi,Abu Dhabi Emirate,"Abu Dhabi, UAE",UTC+04:00,1,1,Domestic,Abu Dhabi Airports Company,Abu Dhabi Airports Company,https://www.albateenairport.ae/,1982
BAH,OBBI,Bahrain International Airport,Muharraq,Muharraq Governorate,"Muharraq, Bahrain",UTC+03:00,1,2,International,Bahrain Airport Company,Bahrain Airport Company,https://www.bahrainairport.bh/,1927
BBU,LROP,Băneasa – Aurel Vlaicu International Airport,Bucharest,Bucharest,"Băneasa, Bucharest, Romania",UTC+02:00,1,1,International,Compania Națională Aeroporturi București,Compania Națională Aeroporturi București,https://www.bucharestairports.ro/,1912
BCM,LRBC,Bacău International Airport,Bacău,Bacău County,"Bacău, Romania",UTC+02:00,1,1,International,S.C. Blue Aero S.R.L.,S.C. Blue Aero S.R.L.,https://www.bacauairport.ro/,1946
BCN,LEBL,Josep Tarradellas Barcelona–El Prat Airport,Barcelona,Catalonia,"El Prat de Llobregat, Barcelona, Spain",UTC+01:00,3,2,International,AENA,AENA,https://www.aena.es/,1918
BDA,TXKF,L.F. Wade International Airport,St. George's,Bermuda,"St. George's, Bermuda",UTC-04:00,1,1,International,Bermuda Airport Authority,Bermuda Skyport Corporation,https://www.airport.bm/,1948
BDS,LIBR,Brindisi Airport,Brindisi,Apulia,"Brindisi, Italy",UTC+01:00,2,1,International,Aeroporti di Puglia,Aeroporti di Puglia,https://www.aeroportidipuglia.it/,1930
BDU,ENBD,Bardufoss Airport,Bardufoss,Troms og Finnmark,"Bardufoss, Norway",UTC+01:00,1,1,International,Avinor,Avinor,https://www.avinor.no/,1938
BEB,EGPL,Benbecula Airport,Balivanich,Outer Hebrides,"Balivanich, Outer Hebrides, Scotland",UTC+00:00,1,1,Domestic,Highlands and Islands Airports,Highlands and Islands Airports,https://www.hial.co.uk/,1936
BEG,LYBE,Belgrade Nikola Tesla Airport,Belgrade,Belgrade,"Surčin, Belgrade, Serbia",UTC+01:00,2,2,International,VINCI Airports,VINCI Airports,https://www.beg.aero/,1962
BER,EDDB,Berlin Brandenburg Airport,Berlin,Brandenburg,"Sch�nefeld, Brandenburg, Germany",UTC+01:00,2,3,International,Flughafen Berlin Brandenburg GmbH,Flughafen Berlin Brandenburg GmbH,https://www.berlin-airport.de/,2020
BES,LFRB,Brest Bretagne Airport,Brest,Brittany,"Guipavas, Brest, France",UTC+01:00,1,1,International,CCI de Brest,CCI de Brest,https://www.brest.aeroport.bzh/,1937
BEY,OLBA,Beirut–Rafic Hariri International Airport,Beirut,Beirut Governorate,"Beirut, Lebanon",UTC+02:00,2,1,International,Directorate General of Civil Aviation,Directorate General of Civil Aviation,https://www.beirutairport.gov.lb/,1954
BFS,EGAA,Belfast International Airport,Belfast,Northern Ireland,"Aldergrove, County Antrim, Northern Ireland",UTC+00:00,2,1,International,Vinci Airports,Vinci Airports,https://www.belfastairport.com/,1917
BGI,TBPB,Grantley Adams International Airport,Bridgetown,Christ Church,"Seawell, Christ Church, Barbados",UTC-04:00,1,1,International,Barbados Airport Services,Barbados Airport Services,https://www.gaia.bb/,1938
BGO,ENBR,Bergen Airport,Flesland,Bergen,"Flesland, Bergen, Norway",UTC+01:00,1,1,International,Avinor,Avinor,https://www.avinor.no/,1955
BGR,KBGR,Bangor International Airport,Bangor,Maine,"Bangor, Maine, USA",UTC-05:00,2,1,International,City of Bangor,Department of Aviation,https://www.flybangor.com/,1927
BGW,ORBI,Baghdad International Airport,Baghdad,Baghdad Governorate,"Baghdad, Iraq",UTC+03:00,3,3,International,Iraqi Government,Iraqi Airports Management,https://www.baghdad-airport.com/,1982
BGY,LIME,Il Caravaggio International Airport,Bergamo,Lombardy,"Orio al Serio, Bergamo, Italy",UTC+01:00,1,1,International,SACBO,SACBO,https://www.milanbergamoairport.it/,1970
BHD,EGAC,George Best Belfast City Airport,Belfast,Northern Ireland,"Belfast, Northern Ireland",UTC+00:00,1,1,International,Private ownership,Belfast City Airport,https://www.belfastcityairport.com/,1937
BHX,EGBB,Birmingham Airport,Birmingham,England,"Bickenhill, West Midlands, England",UTC+00:00,1,2,International,Birmingham Airport Holdings,Birmingham Airport Holdings,https://www.birminghamairport.co.uk/,1939
BIA,LFKB,Bastia – Poretta Airport,Bastia,Corsica,"Lucciana, Bastia, France",UTC+01:00,1,1,International,CCI de la Haute-Corse,CCI de la Haute-Corse,https://www.bastia.aeroport.fr/,1961
BIO,LEBB,Bilbao Airport,Bilbao,Basque Country,"Loiu, Bilbao, Spain",UTC+01:00,1,1,International,AENA,AENA,https://www.aena.es/,1948
BIQ,LFBZ,Biarritz Airport,Biarritz,Nouvelle-Aquitaine,"Biarritz, France",UTC+01:00,1,1,International,CCI de Bayonne Pays Basque,CCI de Bayonne Pays Basque,https://www.biarritz.aeroport.fr/,1954
BJL,GBYD,Banjul International Airport,Banjul,Banjul,"Yundum, Banjul, Gambia",UTC+00:00,1,1,International,Gambia Civil Aviation Authority,Gambia Civil Aviation Authority,https://www.gambia-airport.com/,1931
BJV,LTFE,Milas–Bodrum Airport,Bodrum,Muğla Province,"Milas, Muğla, Turkey",UTC+03:00,2,2,International,TAV Airports,TAV Airports,https://www.milasbodrumairport.com/,1997
BJZ,LEBZ,Talayuela Airport,Badajoz,Extremadura,"Talayuela, Badajoz, Spain",UTC+01:00,1,1,Domestic,AENA,AENA,,1966
BKK,VTBS,Suvarnabhumi Airport,Bangkok,Samut Prakan,"Bang Phli, Samut Prakan, Thailand",UTC+07:00,2,1,International,Airports of Thailand,Airports of Thailand,https://www.bangkokairportonline.com/,2006
BLK,EGNH,Blackpool Airport,Blackpool,England,"St Annes, Lancashire, England",UTC+00:00,3,1,International,Balfour Beatty,Blackpool Airport Operations Ltd,https://www.blackpoolairport.com/,1909
BLL,EKBI,Billund Airport,Billund,South Denmark,"Billund, Denmark",UTC+01:00,1,1,International,Billund Lufthavn A/S,Billund Lufthavn A/S,https://www.bll.dk/,1964
BLQ,LIPE,Bologna Guglielmo Marconi Airport,Bologna,Emilia-Romagna,"Borgo Panigale, Bologna, Italy",UTC+01:00,1,1,International,Aeroporto di Bologna S.p.A.,Aeroporto di Bologna S.p.A.,https://www.bologna-airport.it/,1931
BLR,VOBL,Kempegowda International Airport,Bengaluru,Karnataka,"Devanahalli, Bengaluru, India",UTC+05:30,2,2,International,Bangalore International Airport Limited,Bangalore International Airport Limited,https://www.bengaluruairport.com/,2008
BMA,ESSB,Stockholm Bromma Airport,Stockholm,Stockholm County,"Bromma, Stockholm, Sweden",UTC+01:00,1,1,International,Swedavia,Swedavia,https://www.swedavia.com/,1936
BNA,KBNA,Nashville International Airport,Nashville,Tennessee,"Nashville, Tennessee, USA",UTC-06:00,4,1,International,Metropolitan Nashville Airport Authority,Metropolitan Nashville Airport Authority,https://www.flynashville.com/,1937
BNX,LQBK,Banja Luka International Airport,Banja Luka,Republika Srpska,"Mahovljani, Banja Luka, Bosnia and Herzegovina",UTC+01:00,1,1,International,Government of Republika Srpska,Banja Luka International Airport,https://www.banjaluka-airport.com/,1985
BOD,LFBD,Bordeaux–Mérignac Airport,Bordeaux,Nouvelle-Aquitaine,"Mérignac, Bordeaux, France",UTC+01:00,3,3,International,CCI de Bordeaux,CCI de Bordeaux,https://www.bordeaux.aeroport.fr/,1917
BOG,SKBO,El Dorado International Airport,Bogotá,Cundinamarca,"Bogotá, Colombia",UTC-05:00,2,2,International,OPAÍN,OPAÍN,https://www.eldorado.aero/,1959
BOH,EGHH,Bournemouth Airport,Bournemouth,England,"Christchurch, Dorset, England",UTC+00:00,1,1,International,Regional & City Airports,Regional & City Airports,https://www.bournemouthairport.com/,1941
BOJ,LBBG,Burgas Airport,Burgas,Burgas Province,"Sarafovo, Burgas, Bulgaria",UTC+02:00,1,1,International,Fraport Twin Star Airport Management,Fraport Twin Star Airport Management,https://www.burgas-airport.bg/,1927
BOM,VABB,Chhatrapati Shivaji Maharaj International Airport,Mumbai,Maharashtra,"Mumbai, Maharashtra, India",UTC+05:30,2,2,International,Adani Airports,Adani Airports,https://www.csia.in/,1942
BOO,ENBO,Bodø Airport,Bodø,Nordland,"Bodø, Norway",UTC+01:00,1,1,International,Avinor,Avinor,https://www.avinor.no/,1921
BOS,KBOS,Logan International Airport,Boston,Massachusetts,"East Boston, Massachusetts, USA",UTC-05:00,6,4,International,Massachusetts Port Authority,Massachusetts Port Authority,https://www.massport.com/,1923
BQH,EGKB,London Biggin Hill Airport,London,England,"Biggin Hill, Bromley, London, England",UTC+00:00,1,1,International,Biggin Hill Airport Limited,Biggin Hill Airport Limited,https://www.bigginhillairport.com/,1917
BRE,EDDW,Bremen Airport,Bremen,Bremen,"Bremen, Germany",UTC+01:00,2,1,International,Flughafen Bremen GmbH,Flughafen Bremen GmbH,https://www.bremen-airport.com/,1913
BRI,LIBD,Bari Karol Wojtyła Airport,Bari,Apulia,"Bari, Italy",UTC+01:00,1,1,International,Aeroporti di Puglia,Aeroporti di Puglia,https://www.aeroportidipuglia.it/,1930
BRN,LSZB,Bern Airport,Bern,Bern,"Belp, Bern, Switzerland",UTC+01:00,2,1,International,Flughafen Bern AG,Flughafen Bern AG,https://www.flughafenbern.ch/,1929
BRQ,LKTB,Brno–Tuřany Airport,Brno,South Moravian,"Tuřany, Brno, Czech Republic",UTC+01:00,2,1,International,Brno Airport Ltd.,Brno Airport Ltd.,https://www.brno-airport.cz/,1927
BRR,EGPR,Barra Airport,Barra,Outer Hebrides,"North Bay, Barra, Scotland",UTC+00:00,3,1,Domestic,Highlands and Islands Airports,Highlands and Islands Airports,https://www.hial.co.uk/,1936
BRS,EGGD,Bristol Airport,Bristol,England,"Lulsgate Bottom, North Somerset, England",UTC+00:00,1,1,International,Bristol Airport Limited,Bristol Airport Limited,https://www.bristolairport.co.uk/,1930
BRU,EBBR,Brussels Airport,Brussels,Flanders,"Zaventem, Brussels, Belgium",UTC+01:00,3,1,International,Brussels Airport Company,Brussels Airport Company,https://www.brusselsairport.be/,1940
BSB,SBBR,Presidente Juscelino Kubitschek International Airport,Brasília,Federal District,"Brasília, Brazil",UTC-03:00,2,2,International,Inframerica,Inframerica,https://www.bsb.aero/,1957
BTS,LZIB,Bratislava Airport,Bratislava,Bratislava Region,"Bratislava, Slovakia",UTC+01:00,2,1,International,Letisko M. R. Štefánika – Airport Bratislava,Letisko M. R. Štefánika – Airport Bratislava,https://www.bts.aero/,1951
BUD,LHBP,Budapest Ferenc Liszt International Airport,Budapest,Pest County,"Budapest, Hungary",UTC+01:00,2,3,International,Budapest Airport Zrt.,Budapest Airport Zrt.,https://www.bud.hu/,1950
BUF,KBUF,Buffalo Niagara International Airport,Buffalo,New York,"Cheektowaga, New York, USA",UTC-05:00,2,1,International,Niagara Frontier Transportation Authority,Niagara Frontier Transportation Authority,https://www.buffaloairport.com/,1926
BVA,LFOB,Beauvais–Tillé Airport,Beauvais,Hauts-de-France,"Tillé, Beauvais, France",UTC+01:00,2,2,International,SAGEB,SAGEB,https://www.aeroportparisbeauvais.com/,1956
BVC,GVBA,Aristides Pereira International Airport,Boa Vista,Boa Vista,"Rabil, Boa Vista, Cape Verde",UTC-01:00,1,1,International,ASA (Aeroportos e Segurança Aérea),ASA,https://www.asa.cv/,2007
BVE,LFBV,Brive–Souillac Airport,Brive-la-Gaillarde,Nouvelle-Aquitaine,"Brive-la-Gaillarde, France",UTC+01:00,1,1,International,CCI de Brive,CCI de Brive,https://www.aeroport-brive-vallee-dordogne.fr/,2010
BWE,EDWL,Braunschweig-Wolfsburg Airport,Braunschweig,Lower Saxony,"Braunschweig, Germany",UTC+01:00,1,1,International,Flughafen Braunschweig-Wolfsburg GmbH,Flughafen Braunschweig-Wolfsburg GmbH,https://www.flughafen-braunschweig-wolfsburg.de/,1936
BWI,KBWI,Baltimore/Washington International Thurgood Marshall Airport,Baltimore,Maryland,"Linthicum, Maryland, USA",UTC-05:00,3,1,International,Maryland Aviation Administration,Maryland Aviation Administration,https://www.bwiairport.com/,1950
BWN,WBGR,Bandar Seri Begawan International Airport,Bandar Seri Begawan,Brunei-Muara,"Bandar Seri Begawan, Brunei",UTC+08:00,1,1,International,Department of Civil Aviation Brunei,Department of Civil Aviation Brunei,https://www.civil-aviation.gov.bn/,1972
BYJ,LPPB,Beja Airport,Beja,Alentejo,"Beja, Portugal",UTC+00:00,2,1,International,ANA Aeroportos de Portugal,ANA Aeroportos de Portugal,https://www.ana.pt/,2011
BZG,EPBY,Bydgoszcz Ignacy Jan Paderewski Airport,Bydgoszcz,Kuyavian-Pomeranian,"Bydgoszcz, Poland",UTC+01:00,1,1,International,Port Lotniczy Bydgoszcz S.A.,Port Lotniczy Bydgoszcz S.A.,https://plb.pl/,1916
BZO,LIPB,Bolzano Airport,Bolzano,Trentino-Alto Adige,"Bolzano, Italy",UTC+01:00,1,1,International,ABD Airport AG,ABD Airport AG,https://www.bolzanoairport.it/,1926
BZR,LFMU,Béziers–Cap d'Agde Airport,Béziers,Occitanie,"Vias, Béziers, France",UTC+01:00,1,1,International,CCI de Béziers Saint-Pons,CCI de Béziers Saint-Pons,https://www.beziers.aeroport.fr/,1998
BZZ,EGVN,RAF Brize Norton,Brize Norton,England,"Carterton, Oxfordshire, England",UTC+00:00,1,1,Military,UK Ministry of Defence,UK Ministry of Defence,https://www.raf.mod.uk/,1937
CAE,KCAE,Columbia Metropolitan Airport,Columbia,South Carolina,"West Columbia, South Carolina, USA",UTC-05:00,2,1,International,Richland-Lexington Airport District,Richland-Lexington Airport District,https://www.flycae.com/,1967
CAG,LIEO,Cagliari Elmas Airport,Cagliari,Sardinia,"Elmas, Cagliari, Italy",UTC+01:00,1,1,International,SOGAER,SOGAER,https://www.sogaer.it/,1937
CAI,HECA,Cairo International Airport,Cairo,Cairo Governorate,"Cairo, Egypt",UTC+02:00,3,3,International,Cairo Airport Company,Cairo Airport Company,https://www.cairo-airport.com/,1963
CAL,EGEC,Campbeltown Airport,Campbeltown,Scotland,"Machrihanish, Argyll and Bute, Scotland",UTC+00:00,2,1,Domestic,Highlands and Islands Airports,Highlands and Islands Airports,https://www.hial.co.uk/,1940
CAN,ZGGG,Guangzhou Baiyun International Airport,Guangzhou,Guangdong,"Huadu, Guangzhou, China",UTC+08:00,3,2,International,Guangdong Airport Authority,Guangdong Airport Authority,https://www.gbiac.net/,2004
CAT,LPCS,Cascais Aerodrome,Cascais,Lisbon,"Cascais, Portugal",UTC+00:00,1,1,Domestic,CM Cascais,CM Cascais,https://www.aerodromomunicipalcascais.pt/,1964
CBG,EGSC,Cambridge City Airport,Cambridge,England,"Teversham, Cambridge, England",UTC+00:00,4,1,International,Marshall Aerospace,Marshall Aerospace,https://www.cambridgeairport.com/,1938
CCF,LFMK,Carcassonne Airport,Carcassonne,Occitanie,"Carcassonne, France",UTC+01:00,1,1,International,CCI de Carcassonne,CCI de Carcassonne,https://www.aeroport-carcassonne.com/,1956
CCU,VECC,Netaji Subhas Chandra Bose International Airport,Kolkata,West Bengal,"Dum Dum, Kolkata, India",UTC+05:30,2,2,International,Airports Authority of India,Airports Authority of India,https://www.aai.aero/,1924
CDG,LFPG,Paris Charles de Gaulle Airport,Paris,Île-de-France,"Roissy-en-France, Paris, France",UTC+01:00,4,3,International,Groupe ADP,Groupe ADP,https://www.parisaeroport.fr/,1974
CDT,LECS,Castellón–Costa Azahar Airport,Castellón,Valencian Community,"Vilanova d'Alcolea, Castellón, Spain",UTC+01:00,1,1,International,Aerocas,Aerocas,https://www.aerocas.com/,2011
CEG,EGNR,Hawarden Airport,Chester,Wales,"Hawarden, Flintshire, Wales",UTC+00:00,1,1,International,Airbus UK,Airbus UK,https://www.hawardenairport.co.uk/,1940
CEQ,LFMH,Cannes–Mandelieu Airport,Cannes,Provence-Alpes-Côte d'Azur,"Mandelieu-la-Napoule, Cannes, France",UTC+01:00,2,1,International,Aéroports de la Côte d'Azur,Aéroports de la Côte d'Azur,https://www.cannes.aeroport.fr/,1930
CFE,LFLC,Clermont-Ferrand Auvergne Airport,Clermont-Ferrand,Auvergne-Rhône-Alpes,"Aulnat, Clermont-Ferrand, France",UTC+01:00,3,1,International,VINCI Airports,VINCI Airports,https://www.clermont-aeroport.com/,1916
CFN,EGEC,Donegal Airport,Donegal,County Donegal,"Carrickfinn, Donegal, Ireland",UTC+00:00,1,1,International,Donegal County Council,Donegal Airport,https://www.donegalairport.ie/,1986
CFR,LFRK,Caen–Carpiquet Airport,Caen,Normandy,"Carpiquet, Caen, France",UTC+01:00,2,1,International,CCI de Caen,CCI de Caen,https://www.caen.aeroport.fr/,1938
CFU,LGKR,Corfu International Airport,Corfu,Ionian Islands,"Corfu, Greece",UTC+02:00,1,1,International,Fraport Greece,Fraport Greece,https://www.cfu-airport.gr/,1965
CGN,EDDK,Cologne Bonn Airport,Cologne,North Rhine-Westphalia,"Cologne, Germany",UTC+01:00,2,2,International,Flughafen Köln/Bonn GmbH,Flughafen Köln/Bonn GmbH,https://www.koeln-bonn-airport.de/,1913
CGO,ZHCC,Zhengzhou Xinzheng International Airport,Zhengzhou,Henan,"Xinzheng, Zhengzhou, China",UTC+08:00,2,2,International,Henan Airport Group,Henan Airport Group,https://www.zzairport.com/,1997
CHQ,LGSA,Chania International Airport,Chania,Crete,"Chania, Greece",UTC+02:00,1,1,International,Fraport Greece,Fraport Greece,https://www.chq-airport.gr/,1967
CHR,LFQS,Châteauroux-Centre Marcel Dassault Airport,Châteauroux,Centre-Val de Loire,"Déols, Châteauroux, France",UTC+01:00,2,1,International,CCI de l'Indre,CCI de l'Indre,https://www.chateauroux-airport.com/,1936
CHS,KCHS,Charleston International Airport,Charleston,South Carolina,"North Charleston, South Carolina, USA",UTC-05:00,2,1,International,Charleston County Aviation Authority,Charleston County Aviation Authority,https://www.iflychs.com/,1928
CIA,LIRA,Rome Ciampino Airport,Rome,Lazio,"Ciampino, Rome, Italy",UTC+01:00,1,1,International,Aeroporti di Roma,Aeroporti di Roma,https://www.adr.it/,1916
CIY,LICC,Comiso Airport,Comiso,Sicily,"Comiso, Sicily, Italy",UTC+01:00,1,1,International,SAC – Società Aeroporto Catania,SAC,https://www.aeroportodicomiso.eu/,2013
CKG,ZUCK,Chongqing Jiangbei International Airport,Chongqing,Chongqing,"Yubei, Chongqing, China",UTC+08:00,3,3,International,Chongqing Airport Group,Chongqing Airport Group,https://www.cqa.cn/,1990
CKY,GFLL,Conakry International Airport,Conakry,Conakry,"Conakry, Guinea",UTC+00:00,1,1,International,SOGEAC,SOGEAC,https://www.aeroport-conakry.com/,1985
CLJ,LRCL,Cluj-Napoca International Airport,Cluj-Napoca,Cluj County,"Someșeni, Cluj-Napoca, Romania",UTC+02:00,1,2,International,Cluj-Napoca International Airport,Cluj-Napoca International Airport,https://www.airportcluj.ro/,1932
CLT,KCLT,Charlotte Douglas International Airport,Charlotte,North Carolina,"Charlotte, North Carolina, USA",UTC-05:00,4,1,International,City of Charlotte,Charlotte Aviation Department,https://www.cltairport.com/,1935
CLY,LFKC,Calvi–Sainte-Catherine Airport,Calvi,Corsica,"Calvi, France",UTC+01:00,1,1,International,CCI de la Haute-Corse,CCI de la Haute-Corse,https://www.calvi.aeroport.fr/,1951
CMB,VCBI,Bandaranaike International Airport,Colombo,Western Province,"Katunayake, Colombo, Sri Lanka",UTC+05:30,1,3,International,Airport and Aviation Services,Airport and Aviation Services,https://www.airport.lk/,1967
